model,batch_size,HashDB,RocksDB,Ext-LSM
DeepFM,32,7.11352,1,1.12507
DeepFM,64,10.01289,1,1.22902
DeepFM,128,12.20101,1,1.25279
DeepFM,256,15.2372,1,1.29699
DeepFM,1024,10.45257,1,0.81756
PNN,32,10.70966,1,1.16346
PNN,64,13.32179,1,1.17462
PNN,128,16.95771,1,1.22923
PNN,256,17.66513,1,1.29796
PNN,1024,12.03626,1,0.9851
DLRM,32,16.16927,1,1.20922
DLRM,64,22.00633,1,1.28769
DLRM,128,23.45795,1,1.29895
DLRM,256,23.42851,1,1.32197
DLRM,1024,15.4229,1,0.93226
