batch_size,HashDB,RocksDB,Ext-LSM,model
32,0.08677,1,2.18644,DeepFM
64,0.10833,1,2.93551,DeepFM
128,0.08622,1,1.67216,DeepFM
256,0.09635,1,1.61516,DeepFM
1024,0.10299,1,1.78176,DeepFM
32,0.08169,1,2.20986,PNN
64,0.058,1,1.88181,PNN
128,0.06676,1,1.73171,PNN
256,0.08006,1,1.63106,PNN
1024,0.08123,1,1.77703,PNN
32,0.08326,1,2.51078,DLRM
64,0.0618,1,2.58656,DLRM
128,0.06115,1,1.88762,DLRM
256,0.07336,1,1.59198,DLRM
1024,0.05195,1,1.86135,DLRM
